office-name,title,ocd_division,description,homepage,phone,email,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,subject_to_change,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/12/16,10/14/16,FALSE,,1,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 04:30 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16,FALSE,,2,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 04:30 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16,FALSE,,3,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 04:30 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16,FALSE,,4,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 03:00 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,FALSE,,5,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 04:30 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,6,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 03:00 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,"112 S. 2nd Street, Room A",,Decatur,IN,46733,08:00:00 - 05:00,12:00:00 - 05:00,11/7/16,11/7/16,FALSE,,7,"112 S. 2nd Street, Room A, Decatur, IN 46733",,08:00 AM - 12:00 PM,,ho82443877,FALSE,TRUE,,,,poll87086718
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16,FALSE,,8,"1403 Winchester Rd., Decatur, IN 46733",,09:00 AM - 04:00 PM,,ho38879117,FALSE,TRUE,,,,poll86613747
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16,FALSE,,9,"1403 Winchester Rd., Decatur, IN 46733",,09:00 AM - 04:00 PM,,ho38879117,FALSE,TRUE,,,,poll86613747
Adams County,FIrst Missionary Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,950 US Hwy 27 S. ,,Berne ,IN,46711,09:00:00 - 04:00,16:00:00 - 04:00,11/1/16,11/1/16,FALSE,,10,"950 US Hwy 27 S., Berne , IN 46711",,09:00 AM - 04:00 PM,,ho14393316,FALSE,TRUE,,,,poll61719783
