office_name,official_title,ocd_division,division_description,homepage,phone,email,street,directions,city,state,zip,start_time,end_time,start_date,end_date,must_apply_for_mail_ballot,notes,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,9/26/2016,9/30/2016,Yes,,1,"Historic Court House Complex, 5903 Main Street Mays Landing, NJ 08330",08:30 AM-04:30 PM,,ho0001,false,true,,,,poll0001
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1500,11/7/2016,11/7/2016,Yes,,7,"Historic Court House Complex, 5903 Main Street Mays Landing, NJ 08330",08:30 AM-03:00 PM,,ho0007,false,true,,,,poll0007
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,9/26/2016,9/30/2016,Yes,,8,"One Bergen County Plaza, Room 310 Hackensack, NJ 07601",08:30 AM-04:00 PM,,ho0008,false,true,,,,poll0008
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1500,11/7/2016,11/7/2016,Yes,,14,"One Bergen County Plaza, Room 310 Hackensack, NJ 07601",08:30 AM-03:00 PM,,ho0014,false,true,,,,poll0014
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,9/26/2016,9/30/2016,Yes,,15,"County Office Building, 49 Rancocas Road Room G-22 Mount Holly, NJ 08060",08:00 AM-04:00 PM,,ho0015,false,true,,,,poll0015
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1500,11/7/2016,11/7/2016,Yes,,21,"County Office Building, 49 Rancocas Road Room G-22 Mount Holly, NJ 08060",08:00 AM-03:00 PM,,ho0021,false,true,,,,poll0021
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1600,9/26/2016,9/30/2016,Yes,,22,"Courthouse, Room 102, 520 Market Street Camden, NJ 08101",08:30 AM-04:00 PM,,ho0022,false,true,,,,poll0022
Camden County,County Clerk,ocd-division/country:us/state:nj/county:camden,Camden County NJ,http://www.camdencounty.com/clerk,(856) 225-7219,countyclerk@camdencounty.com,"Courthouse, Room 102, 520 Market Street",,Camden,NJ,08101-0150,830,1500,11/7/2016,11/7/2016,Yes,,28,"Courthouse, Room 102, 520 Market Street Camden, NJ 08101",08:30 AM-03:00 PM,,ho0028,false,true,,,,poll0028
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1600,9/26/2016,9/30/2016,Yes,,29,"100 University Court Blackwood, NJ 08012",08:30 AM-04:00 PM,,ho0029,false,true,,,,poll0029
Camden County,Elections and Achive Center - Election Division,ocd-division/country:us/state:nj/county:camden,Camden County NJ,,(856) 225-7219,countyclerk@camdencounty.com,100 University Court,,Blackwood,NJ,8012,830,1500,11/7/2016,11/7/2016,Yes,,35,"100 University Court Blackwood, NJ 08012",08:30 AM-03:00 PM,,ho0035,false,true,,,,poll0035
