name,county,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,id,start_time,end_time
EV01 Allegany County Office Complex,Allegany,Allegany County Office Complex,701 Kelly Road,,,Cumberland,md,21502,Room 100,,10/27/16,11/3/16,2500069,08:00:00-4:00,20:00:00-4:00
EV01 Mid-County Community Recreation Center,Montgomery,Mid-County Community Recreation Center,2004 Queensguard Road,,,Silver Spring,md,20906,,,10/27/16,11/3/16,2500027,08:00:00-4:00,20:00:00-4:00
EV02 Executive Office Building,Montgomery,Executive Office Building,101 Monroe Street,,,Rockville,md,20850,,,10/27/16,11/3/16,2500026,08:00:00-4:00,20:00:00-4:00
EV03 Germantown Community Rec0reation Center,Montgomery,Germantown Community Rec0reation Center,18905 Kingsview Road,,,Germantown,md,20874,,,10/27/16,11/3/16,2500025,08:00:00-4:00,20:00:00-4:00
EV04 Marilyn J. Praisner Community Recreation Center,Montgomery,Marilyn J. Praisner Community Recreation Center,14906 Old Columbia Pike,,,Burtonsville,md,20866,,,10/27/16,11/3/16,2500024,08:00:00-4:00,20:00:00-4:00
EV05 Silver Spring Civic Building,Montgomery,Silver Spring Civic Building,One Veterans Place,,,Silver Spring,md,20910,,,10/27/16,11/3/16,2500023,08:00:00-4:00,20:00:00-4:00
EV01 Westside Skill Center,Baltimore City,Westside Skill Center,4501 Edmondson Avenue,,,Baltimore,md,21229,Rear of Bldg. Enter on Athol Avenue,,10/27/16,11/3/16,2500063,08:00:00-4:00,20:00:00-4:00
EV05 Southeast Anchor Library,Baltimore City,Southeast Anchor Library,3601 Eastern Avenue,,,Baltimore,md,21224,,,10/27/16,11/3/16,2500062,08:00:00-4:00,20:00:00-4:00
EV02 The League For People With Disabilities,Baltimore City,The League For People With Disabilities,1111 E. Coldspring Lane,,,Baltimore,md,21239,,,10/27/16,11/3/16,2500061,08:00:00-4:00,20:00:00-4:00
EV03 Maritime Industries Acad Sch #431,Baltimore City,Maritime Industries Acad Sch #431,5001 Sinclair Lane,,,Baltimore,md,21206,,,10/27/16,11/3/16,2500060,08:00:00-4:00,20:00:00-4:00
EV04 Public Safety Training Center,Baltimore City,Public Safety Training Center,3500 W. Northern Pkwy,,,Baltimore,md,21215,,,10/27/16,11/3/16,2500059,08:00:00-4:00,20:00:00-4:00
EV06 University of Maryland Community Engagement Center,Baltimore City,University of Maryland Community Engagement Center,1 N. Poppleton St,,,Baltimore,md,21201,Enter on W. Baltimore Street,,10/27/16,11/3/16,2500058,08:00:00-4:00,20:00:00-4:00
EV02 College Park Community Center,Prince George's,College Park Community Center,5051 Pierce Ave,,,College Park,md,20740,,,10/27/16,11/3/16,2500017,08:00:00-4:00,20:00:00-4:00
