office-name,official-title,ocd-division,division-description,homepage-url,phone,email,street,directions,city,state,zip,start_time,end_time,start_date,end_date,Must apply for mail-in ballot at county clerk's office (online or in person),Notes
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,9/26/16,9/30/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/3/16,10/7/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/10/16,10/14/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/17/16,10/21/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/24/16,10/28/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1630,10/31/16,11/4/16,Yes,
Atlantic County,Board of Elections,ocd-division/country:us/state:nj/county:atlantic,Atlantic County NJ,http://atlanticcountyclerk.org/,(609) 645-5867,,"Historic Court House Complex, 5903 Main Street",,Mays Landing,NJ,08330-1797,830,1500,11/7/16,11/7/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,9/26/16,9/30/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,10/3/16,10/7/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,10/10/16,10/14/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,10/17/16,10/21/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,10/24/16,10/28/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1600,10/31/16,11/4/16,Yes,
Bergen County,Board of Elections,ocd-division/country:us/state:nj/county:bergen,Bergen County NJ,http://www.bergencountyclerk.org/elections/,(201) 336-6225,,"One Bergen County Plaza, Room 310",,Hackensack,NJ,7601,830,1500,11/7/16,11/7/16,Yes,
Burlington County,Election Board,ocd-division/country:us/state:nj/county:burlington,Burlington County NJ,http://www.co.burlington.nj.us/192/County-Clerk,(201) 265-5062,countyclerk@co.burlington.nj.us,"County Office Building, 49 Rancocas Road Room G-22",,Mount Holly,NJ,08060-1397,800,1600,9/26/16,9/30/16,Yes,
