Town/City,Clerk,Address,Phone (area code 603),Fax,E-Mail,Town Website Address,Polling Place,Polling Hours,ElectionName,,
ACWORTH,CHARLOTTE  COMEAU,PO BOX 37 ACWORTH 03601,835-6879,835-7901,atclerk@sover.net,www.acworthnhtownclerk.com,Acworth Town Hall 13 Town Hall Rd Acworth 03601,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ALBANY,KATHY  VIZARD,1972 NH ROUTE  16 ALBANY 03818,447-2877,447-2877,townclerk@albanynh.org,www.albanynh.org,Albany Town Hall 1972 Route 16 Albany 03818,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ALEXANDRIA,FRANCINE M SKIFFINGTON,47 WASHBURN ROAD ALEXANDRIA 03222,744-3288,744-8577,alextctxcoll@metrocast.nt,www.alexandrianh.com,Old Town Hall 45 Washburn Rd Alexandria 03222,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ALLENSTOWN,KATHLEEN V ROGERS,16 SCHOOL STREET ALLENSTOWN 03275,485-4276,485-8669,krogers@allenstownnh.gov,www.allenstownnh.gov,St Jean The Baptist Parish Hall 10 School St Allenstown 03275,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ALSTEAD,GLORIA  SEDDON,PO BOX 65 ALSTEAD 03602,835-2242,835-2178,alsteadtownclerk@comcast.net,www.alsteadnh.org,Town Hall 9 Main St Alstead 03602,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ALTON,LISA  NOYES,PO BOX 637 ALTON 03809,875-2101,875-0112,townclerk@alton.nh.gov,www.alton.nh.gov,Pearson Road Community & Senior Center 7 Pearson Rd Alton 03809,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
AMHERST,NANCY A DEMERS,PO BOX 960 AMHERST 03031,673-6041,673-4138,ndemers@amherstnh.gov,www.amherstnh.gov,Souhegan High School 412 Boston Post Rd Amherst 03031,6:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ANDOVER,JOANNA  SUMNER,PO BOX 361 ANDOVER 03216,735-5018,735-6975,tctc@andover-nh.gov,andover.nh.us,Andover Elementary Middle School 20 School St Andover 03216,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ANTRIM,DIANE  CHAUNCEY,PO BOX 517 ANTRIM 03440,588-6785,588-2969,antrimatc@tds.net,www.antrimnh.org,Antrim Town Hall 66 Main St Antrim 03440,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ASHLAND,PATRICIA  TUCKER,PO BOX 517 ASHLAND 03217,968-4432,968-3776,ptucker@ashland.nh.gov,www.ashland.nh.gov,William J. Tirone Gymnasium 27 Highland St Ashland 03217,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
ATKINSON,ROSE M CAVALEAR,21 ACADEMY AVE ATKINSON 03811,362-4920,362-5305,rcavalear@atkinson-nh.gov,www.town-atkinsonnh.com,Atkinson Community Center 4 Main St Atkinson 03811,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
AUBURN,KATHLEEN AGNES SYLVIA,PO BOX 309 AUBURN 03032,483-2281,483-0518,townclerk@townofauburnnh.com,www.auburnnh.us,Auburn Village School 11 Eaton Hill Rd Auburn 03032,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BARNSTEAD,CYNTHIA L TREADWELL,PO BOX 11 CTR BARNSTEAD 03225,269-4631,269-4072,ctreadwell@barnstead.org,www.barnstead.org,Barnstead Town Hall 108 S Barnstead Rd Barnstead 03225,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BARRINGTON,KIM  KEREKES,PO BOX 660 BARRINGTON 03825,664-5476,664-0177,townclrk@metrocast.net,www.barrington.nh.gov,Barrington Middle School 51 Haley Dr Barrington 03825,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
BARTLETT,CHERYL  NEALLEY,56 TOWN HALL ROAD INTERVALE 03845,356-2300,356-2300,bartletttownclerk@roadrunner.com,www.bartlettnh.org,Bartlett Town Hall 56 Town Hall Rd Bartlett 03845,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
