COUNTY,OFFICER,EMAIL,,PHONE,FAX,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,HOURS,START,END
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,10/11/16,11/7/16
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,10/11/16,11/7/16
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,10/11/16,11/7/16
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,10/11/16,11/7/16
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,Great Bend,KS,67530,8:00-5:00,10/11/16,11/7/16
BOURBON,Kendell Mason,countyclerk@bourboncountyks.org,,6202233800,6202235832,210 S National,,Ft Scott,KS,66701,8:30-4:30,10/11/16,11/7/16
BROWN,Melissa Gormley,BR_county_clerk@wan.kdor.state.ks.us,,7857422581,7857427705,601 Oregon St,,Hiawatha,KS,66434,8:00-5:00,10/11/16,11/7/16
BUTLER,Don Engels,dengels@bucoks.com,,3163224233,3163211011,205 W Central,,El Dorado,KS,67042,8:00-5:00,10/11/16,11/7/16
CHASE,Brande Studer,clerk@chasecountyks.com,,6202736423,6202736617,300 Pearl St,,Cottonwood Falls,KS,66845-0547,8:00-5:00,10/11/16,11/7/16
CHAUTAUQUA,Janice A. Fine,cqclerk@gmail.com,,6207255800,6207255801,215 N Chautauqua,,Sedan,KS,67361,8:00-4:00,10/11/16,11/7/16
CHEROKEE,Rodney Edmondson,rodney.clerk@cherokeecounty-ks.gov,,6204292042,6204291042,110 W. Maple St,#31,Columbus,KS,66725,8:00-5:00,10/11/16,11/7/16
CHEYENNE,Deb Lindsten,CN_county_clerk@wan.kdor.state.ks.us,,7853328800,7853328825,212 Washington St,,St Francis,KS,67756,8:00-12:00 1:00-5:00,10/11/16,11/7/16
CLARK,Rebecca Mishler,cacoclrk@ucom.net,,6206352813,6206352051,913 Highland,,Ashland,KS,67831,8:00-5:00,10/11/16,11/7/16
CLAY,Kayla Wang,cyclerk@claycountykansas.org,,7856322552,7856325856,712 5th Street,Suite 102,Clay Center,KS,67432,8:00-5:00,10/11/16,11/7/16
CLOUD,Shella Thoman,clerk@cloudcountyks.org,,7852438110,7852438123,811 Washington,,Concordia,KS,66901,8:00-4:30,10/11/16,11/7/16
COFFEY,Angie Kirchner,angiek@coffeycountyks.org,,6203642191,6203648975,Room 202,110 S 6th,Burlington,KS,66839,8:00-5:00,10/11/16,11/7/16
COMANCHE,Alice Smith,CM_county_clerk@wan.kdor.state.ks.us,,6205822361,6205822426,201 S New York Avenue,,Coldwater,KS,67029,9:00-12:00 1:00-5:00,10/11/16,11/7/16
COWLEY,Karen Madison,kmadison@cowleycounty.org,,6202215495,6202215498,321 E. 10th Avenue,,Winfield,KS,67156,8:00-5:00,10/11/16,11/7/16
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,Girard,KS,66743-0249,8:30-4:30,10/11/16,11/7/16
DECATUR,Colleen Geihsler,DC_county_clerk@wan.kdor.state.ks.us,,7854758102,7854758150,120 E Hall St #4,,Oberlin,KS,67749,8:00-5:00,10/11/16,11/7/16
DICKINSON,Barb Jones,DK_county_clerk@wan.kdor.state.ks.us,,7852633774,7852632045,"109 E 1st, Ste. 207",,Abilene,KS,67410,8:00-5:00,10/11/16,11/7/16
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,Troy,KS,66087,8:30-5:00,10/11/16,11/7/16
DOUGLAS,Jameson (Jamie) Shew,jshew@douglas-county.com,,7858325281,7858325192,1100 Massachusetts St,,Lawrence,KS,66044,8:00-5:00,10/11/16,11/7/16
EDWARDS,Gina Schuette,edwardsclerk@edwards.kscoxmail.com,,6206593000,6206592583,312 Massachusetts,,Kinsley,KS,67547,8:00-5:00,10/11/16,11/7/16
ELK,Vicky D. Wedman,ekclerk@sktc.net,,6203742490,6203742771,127 N Pine St,,Howard,KS,67349,8:00-4:30,10/11/16,11/7/16
ELLIS,Donna Maskus,dclerk@ellisco.net,,7856289410,7856289413,"1204 Fort St,",,Hays,KS,67601,8:00-5:00,10/11/16,11/7/16
ELLSWORTH,Shelly Vopat,EWCLERK@KANS.COM,,7854724161,7854723818,210 N Kansas,,Ellsworth,KS,67439,8:00-5:00,10/11/16,11/7/16
FINNEY,Elsa Ulrich,eulrich@finneycounty.org,,6202723575,6202723890,Finney Co. Admin. Center,311 N. 9th St.,Garden City,KS,67846,8:00-5:00,10/11/16,11/7/16
FORD,Debbie Cox,dcox@fordcounty.net,,6202274550,6202274699,100 Gunsmoke,,Dodge City,KS,67801,9:00-5:00,10/11/16,11/7/16
FRANKLIN,Janet Paddock,jpaddock@franklincoks.org,,7852293410,7852293419,315 S Main,,Ottawa,KS,66067,8:00-4:30,10/11/16,11/7/16
GEARY,Rebecca Bossemeyer,rebecca.bossemeyer@gearycounty.org,,7852383912,7852385419,200 E. 8th Street,,Junction City,KS,66441,8:30-5:00,10/11/16,11/7/16
GOVE,Doug Press,GO_county_clerk@wan.kdor.state.ks.us,,7859382300,7859384486,520 Washington St. Suite 105,,Gove,KS,67736,8:00-12:00 1:00-5:00,10/11/16,11/7/16
GRAHAM,Jana Irby,grahcocl@ruraltel.net,,7854213453,7854216374,410 N Pomeroy,,Hill City,KS,67642,8:30-5:00,10/11/16,11/7/16
GRANT,Sheila Brown,clerk@pld.com,,6203561335,6203563081,108 S Glenn,,Ulysses,KS,67880,9:00-5:00,10/11/16,11/7/16
GRAY,Ashley Rogers,arogers@grayco.org,,6208553618,6208553107,33 South Main Street,,Cimarron,KS,67835-0487,8:00-5:00,10/11/16,11/7/16
GREELEY,Jerri Young,gcclerk@fairpoint.net,,6203764256,6203762294,208 E Harper St,,Tribune,KS,67879,9:00-12:00 1:00-5:00 (Mountain),10/11/16,11/7/16
GREENWOOD,Kathy Robison,GW_county_clerk@wan.kdor.state.ks.us,,6205838121,6205838124,311 N Main,,Eureka,KS,67045,8:00-5:00,10/11/16,11/7/16
HAMILTON,Angie Moser,hmcoclerk@gmail.com,,6203845629,6203845853,219 N Main St,,Syracuse,KS,67878,8:30-4:30 (Mountain),10/11/16,11/7/16
HARPER,Ruth A. Elliott,clerk@harpercountyks.gov,,6208425555,6208423455,201 N Jennings Avenue,,Anthony,KS,67003,8:00-12:00 1:00-5:00,10/11/16,11/7/16
HARVEY,Rick Piepho,rpiepho@harveycounty.com,,3162846842,3162846856,800 N Main St,,Newton,KS,67114,8:00-5:00,10/11/16,11/7/16
HASKELL,Pam Carrion,hspc@unitedwireless.com,,6206752263,6206752681,300 Inman St,,Sublette,KS,67877,9:00-5:00,10/11/16,11/7/16
HODGEMAN,Sarah Rains,HG_county_clerk@wan.kdor.state.ks.us,,6203576421,6203576313,500 Main,,Jetmore,KS,67854,9:00-12:00 1:00-5:00,10/11/16,11/7/16
JACKSON,Kathy Mick,JA_county_clerk@wan.kdor.state.ks.us,,7853642891,7853644204,400 New York,,Holton,KS,66436,8:00-4:30,10/11/16,11/7/16
JEFFERSON,Linda Buttron,lbuttron@jfcountyks.com,,7858632272,7858633135,300 Jefferson St,,Oskaloosa,KS,66066,8:00-4:30,10/11/16,11/7/16
JEWELL,Carla J Waugh,JW_county_clerk@wan.kdor.state.ks.us,,7853784020,7853783037,307 N Commercial,,Mankato,KS,66956,8:30-12:00 1:00-4:30,10/11/16,11/7/16
JOHNSON,Ronnie Metsker,Ronnie.Metsker@jocogov.org,,9137823441,9137911753,2101 E Kansas City Rd,,Olathe,KS,66061,8:00-5:00,10/11/16,11/7/16
KEARNY,Jana G. Jenkinson,keclerk@pld.com,,6203556422,6203557382,304 N Main St,,Lakin,KS,67860,8:00-5:00,10/11/16,11/7/16
KINGMAN,Carol Noblit,KM_county_clerk@wan.kdor.state.ks.us,,6205322521,6205322037,130 N Spruce,,Kingman,KS,67068,8:00-5:00,10/11/16,11/7/16
KIOWA,Kristi Cooper,kristi.cooper@kiowacountyks.org,,6207233366,6207233234,211 East Florida Avenue,,Greensburg,KS,67054,8:30-12:00 1:00-5:00,10/11/16,11/7/16
LABETTE,Peggy Minor,pminor@labettecounty.com,,6207952138,6207952928,501 Merchant St #9,,Oswego,KS,67356,8:00-5:00,10/11/16,11/7/16
LANE,Stephanie M. Benzel,LE_county_clerk@wan.kdor.state.ks.us,,6203975356,6203975419,144 S Lane St,,Dighton,KS,67839,8:00-5:00,10/11/16,11/7/16
LEAVENWORTH,Janet Klasinski,jklasinski@leavenworthcounty.org,,9136840422,9136801489,300 Walnut,,Leavenworth,KS,66048,8:00-5:00,10/11/16,11/7/16
LINCOLN,Dawn Harlow,lcclerk@lincolncoks.org,,7855244757,7855245008,216 E Lincoln Ave,,Lincoln,KS,67455,8:00-5:00,10/11/16,11/7/16
LINN,David L. Lamb,dlamb@linncountyks.com,,9137952668,9137952889,315 Main St,,Mound City,KS,66056,8:00-4:00,10/11/16,11/7/16
LOGAN,Crystal Rucker,LG_County_Clerk@wan.kdor.state.ks.us,,7856714244,7856713341,710 W 2nd,,Oakley,KS,67748,8:00-5:00,10/11/16,11/7/16
LYON,Tammy Vopat,lyclerk@lyoncounty.org,,6203413245,6203413415,430 Commercial,,Emporia,KS,66801,8:00-5:00,10/11/16,11/7/16
MCPHERSON,Cathy Schmidt,cschmidt@mcphersoncountyks.us,,6202413656,6202411168,117 N. Maple,,McPherson,KS,67460,8:00-5:00,10/11/16,11/7/16
MARION,Tina Spencer,tspencer@marioncoks.net,,6203822185,6203828815,Marion County Courthouse,"200 South Third, Suite 104",Marion,KS,66861,8:30-5:00,10/11/16,11/7/16
MARSHALL,Sonya L. Stohs,msctyclk@bluevalley.net,,7855625361,7855625262,1201 Broadway,,Marysville,KS,66508,8:30-5:00,10/11/16,11/7/16
MEADE,Janet Hale,jhale@meadeco.org,,6208738700,6208738713,200 N Fowler St,,Meade,KS,67864,8:00-12:00 1:00-5:00,10/11/16,11/7/16
MIAMI,Janet White,countyclerk@miamicountyks.org,,9132943976,9132949544,201 S. Pearl,Suite 102,Paola,KS,66071,8:00-4:30,10/11/16,11/7/16
MITCHELL,Chris Treaster,mitchell_co@nckcn.com,,7857383652,7857385524,111 S Hersey,,Beloit,KS,67420,8:30-5:00,10/11/16,11/7/16
