office-name,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",Carson City,NV,89701-4475,10:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",Carson City,NV,89701-4475,08:00:00 - 07:00,18:00:00 - 07:00,10/24/16,10/28/16
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",Carson City,NV,89701-4475,10:00:00 - 07:00,14:00:00 - 07:00,10/29/16,10/29/16
Carson City County,ocd-division/country:us/state:nv/county:carson_city,Carson City County NV,http://www.carson.org/index.aspx?page=90,(775) 887-2087,elections@carson.org,"885 East Musser Street, Suite 1025",Carson City,NV,89701-4475,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/4/16
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",Fallon,NV,89406-2748,10:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",Fallon,NV,89406-2748,08:00:00 - 07:00,18:00:00 - 07:00,10/24/16,10/28/16
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",Fallon,NV,89406-2748,10:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16
Churchill County,ocd-division/country:us/state:nv/county:churchill,Churchill County NV,http://nv-churchillcounty.civicplus.com/index.aspx?nid=114,(775) 423-6028,clerktreas@churchillcounty.org,"155 N Taylor St, Suite 110, Chamber Commissions",Fallon,NV,89406-2748,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/4/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2840 S. Needles Hwy.,",Laughlin,NV,89029,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/22/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,200 Michael Wendell Way,Searchlight,NV,89046,10:00:00 - 07:00,15:00:00 - 07:00,10/22/16,10/22/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7075 West Ann Road,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/23/16,10/24/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,300 Racetrack Road,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/26/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7394 Aliante Parkway,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/27/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3150 N. Buffalo Dr.,Las Vegas,NV,89128,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,3150 N. Buffalo Dr.,Las Vegas,NV,89128,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/1/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4421 E BONANZA RD.,Las Vegas,NV,89110,09:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4421 E BONANZA RD.,Las Vegas,NV,89110,09:00:00 - 07:00,20:00:00 - 07:00,11/4/16,11/4/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8350 W Cheyenne Ave,Las Vegas,NV,89129,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/24/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,Las Vegas,NV,89117,11:00:00 - 07:00,19:00:00 - 07:00,10/25/16,10/25/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9600 W Sahara Ave,Las Vegas,NV,89117,10:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd,Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/30/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4055 S Durango Dr,Las Vegas,NV,89147,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/1/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,Las Vegas,NV,89145,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/2/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,Las Vegas,NV,89145,09:00:00 - 07:00,20:00:00 - 07:00,11/3/16,11/3/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1001 S. Rainbow Blvd,Las Vegas,NV,89145,09:00:00 - 07:00,19:00:00 - 07:00,11/4/16,11/4/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7151 West Craig Road,Las Vegas,NV,89129,09:00:00 - 07:00,19:00:00 - 07:00,10/22/16,10/23/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,280 S Green Valley Pkwy,Henderson,NV,89012,10:00:00 - 07:00,20:00:00 - 07:00,10/24/16,10/25/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6450 Sky Pointe Dr,Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/27/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road,Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/29/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,190 N Boulder Hwy,Henderson,NV,89015,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/1/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4025 Allen Ln,North Las Vegas,NV,89032,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/2/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8275 Spring Mountain Rd,Las Vegas,NV,89117,09:00:00 - 07:00,19:00:00 - 07:00,11/3/16,11/3/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8275 Spring Mountain Rd,Las Vegas,NV,89117,09:00:00 - 07:00,20:00:00 - 07:00,11/4/16,11/4/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4850 West Craig Road,Las Vegas,NV,89032,08:00:00 - 07:00,18:00:00 - 07:00,10/22/16,10/24/16
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2400 W Deer Springs Way,North Las Vegas,NV,89084,10:30:00 - 07:00,19:30:00 - 07:00,10/26/16,10/26/16
