office_name,ocd_division,description,homepage,phone,email,name,street,dirs,city,state,zip,start_time,end_time,appt_1,appt_2,subject_to_change,start_date,end_date,ev_or_aip,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,12:00:00 - 05:00,17:30:00 - 05:00,False,False,False,10-25-2016,10-25-2016,EV,1,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,12:00 PM - 05:30 PM,,ho36120506,false,true,,,,poll90443080
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-26-2016,10-28-2016,EV,2,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,09:30 AM - 05:30 PM,,ho36120506,false,true,,,,poll90443080
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,10-29-2016,10-29-2016,EV,3,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,09:30 AM - 01:00 PM,,ho36120506,false,true,,,,poll90443080
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,4,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,09:30 AM - 05:30 PM,,ho36120506,false,true,,,,poll90443080
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,11-05-2016,11-05-2016,EV,5,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,09:30 AM - 01:00 PM,,ho36120506,false,true,,,,poll90443080
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:00:00 - 06:00,False,False,False,11-07-2016,11-07-2016,EV,6,"221 N 5th St, Bismarck, ND 58501",1st Fl Conf Rm,09:30 AM - 05:00 PM,,ho36120506,false,true,,,,poll90443080
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Baymont Inn and Suites,3333 13th Ave S,,Fargo,ND,58103,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,7,"3333 13th Ave S, Fargo, ND 58103",,10:00 AM - 07:00 PM,,ho17564606,false,true,,,,poll75699859
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Cambria Suites - West Fargo,825 E Beaton Dr,,West Fargo,ND,58078,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,8,"825 E Beaton Dr, West Fargo, ND 58078",,10:00 AM - 07:00 PM,,ho3741474,false,true,,,,poll36478181
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,FargoDome,1800 N University Dr,,Fargo,ND,58102,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,9,"1800 N University Dr, Fargo, ND 58102",,10:00 AM - 07:00 PM,,ho47977112,false,true,,,,poll9311428
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Days Inn Casselton/Fargo,2050 Governor's Dr,,Casselton,ND,58012,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,11-02-2016,11-04-2016,EV,10,"2050 Governor's Dr, Casselton, ND 58012",,10:00 AM - 07:00 PM,,ho19361141,false,true,,,,poll42155907
