office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appt,notes,notes for hand collection
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/11/16,10/14/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/18/16,10/21/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/25/16,10/28/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,11/1/16,11/3/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/11/16,10/11/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,10/13/16,10/13/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/14/16,10/14/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/18/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,10/20/16,10/20/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/21/16,10/21/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/24/16,10/25/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,10/27/16,10/27/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/28/16,10/28/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/1/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",
