office-name,ocd-division,homepage-url,phone,email,DIRECTIONS,name,address1,address2,city,state,zip,start_time,end_time,start_date,end_date,is_subject_to_change,notes
Andrews County,ocd-division/country:us/state:tx/county:andrews,http://www.co.andrews.tx.us/departemnts/county_clerk.php,(432) 524-1463,gmendoza@co.andrews.tx.us,,,855 E State Hwy 176,,Andrews,TX,79714,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-28-2016,,"James Roberts Center, 855 E State Hwy 176, Andrews, TX 79714, Oct 24 - Nov 4, Monday - Friday 8- 5:00 pm"
Andrews County,ocd-division/country:us/state:tx/county:andrews,http://www.co.andrews.tx.us/departemnts/county_clerk.php,(432) 524-1463,gmendoza@co.andrews.tx.us,,,855 E State Hwy 176,,Andrews,TX,79714,08:00:00 - 05:00,17:00:00 - 05:00,10-31-2016,11-04-2016,,"James Roberts Center, 855 E State Hwy 176, Andrews, TX 79714, Oct 24 - Nov 4, Monday - Friday 8- 5:00 pm"
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-28-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,07:00:00 - 05:00,19:00:00 - 05:00,10-29-2016,10-29-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,12:00:00 - 05:00,17:00:00 - 05:00,10-30-2016,10-30-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,07:00:00 - 05:00,19:00:00 - 05:00,10-31-2016,11-04-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,400 Kenley St,,Diboll,TX,75941,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,838 E Main St,,Zavalla,TX,75980,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,1179 HWY 69,,N Huntington,TX,75949,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,,"Main location: October 24, – October 28, 2016, M-F 8:00 a.m. till 5:00 p.m. October 31, - November 4, 2016 M-F 7:00 a.m. till 7:00 p.m. Saturday, October 29, 2016, 7:00 a.m. till 7:00 p.m. Sunday, October 30, 2016 12:00 p.m. till 5:00 p.m. OTHER LOCATIONS: Diboll City Hall-400 Kenley, Diboll, TX 7594 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m. Huntington Civic Center 1179 HWY 69 N. HUNTINGTON, TX 75949 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m.Zavalla City Hall- 838 E Main St, Zavalla, TX 75980 October 31, - November 3, 2016 M-Th 8:00 a.m. till 4:30 p.m."
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-29-2016,,"Early voting hours: Monday, October 24 8:00 a.m. to 5:00 p.m. Sunday, October 30 CLOSED/CERRADO Tuesday, October 25 8:00 a.m. to 5:00 p.m. Monday, October 31 7:00 a.m. to 7:00 p.m. Wednesday, October 26 8:00 a.m. to 5:00 p.m.Tuesday, November 1 8:00 a.m. to 5:00 p.m.Thursday, October 27 8:00 a.m. to 5:00 p.m. Wednesday, November 2 7:00 a.m. to 7:00 p.m. Friday,October 28 8:00 a.m. to 5:00 p.m. Thursday, November 3 8:00 a.m. to 5:00 p.m.Saturday, October 29 8:00 a.m. to 5:00 p.m. Friday, November 4 7:00 a.m. to 7:00 p.m"
