office-name,ocd-division,division-description,homepage-url,phone,email,name,address_1,address_2,city,state,zip,start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,EV or AIP? 
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,12:00:00 - 05:00,17:30:00 - 05:00,false,false,false,10-25-2016,10-25-2016,EV
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,false,false,false,10-26-2016,10-28-2016,EV
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,false,false,false,10-29-2016,10-29-2016,EV
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,false,false,false,11-05-2016,11-05-2016,EV
Burleigh County,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,kglatt@nd.gov,,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:00:00 - 06:00,false,false,false,11-07-2016,11-07-2016,EV
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Baymont Inn and Suites,3333 13th Ave S,,Fargo,ND,58103,10:00:00 - 05:00,19:00:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Cambria Suites - West Fargo,825 E Beaton Dr,,West Fargo,ND,58078,10:00:00 - 05:00,19:00:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,FargoDome,1800 N University Dr,,Fargo,ND,58102,10:00:00 - 05:00,19:00:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Cass County,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,election@casscountynd.gov,Days Inn Casselton/Fargo,2050 Governor's Dr,,Casselton,ND,58012,10:00:00 - 05:00,19:00:00 - 05:00,false,false,false,11-02-2016,11-04-2016,EV
Grand Forks County,ocd-division/country:us/state:nd/county:grand_forks,Grand Forks County ND,,(701) 780-8201,deana.mayotte@gfcounty.org or debbie.nelson@gfcounty.org,Alerus Center,1200 S 42nd St,,Grand Forks,ND,58201,10:00:00 - 05:00,18:00:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,12:00:00 - 05:00,17:00:00 - 05:00,false,false,false,10-25-2016,10-25-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:00:00 - 05:00,false,false,false,10-26-2016,10-28-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,13:00:00 - 05:00,false,false,false,10-29-2016,10-29-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:00:00 - 05:00,false,false,false,10-31-2016,11-04-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,13:00:00 - 05:00,false,false,false,11-05-2016,11-05-2016,EV
Morton County,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,dawn.rhone@mortonnd.org,,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:00:00 - 05:00,false,false,false,11-07-2016,11-07-2016,EV
