office-name,ocd-division,division-description,homepage-url,phone,email,street,dirs,city,state,zip,start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,EV or AIP? 
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,9/29/16,9/30/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,9/29/16,9/30/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,10/3/16,10/7/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,10/3/16,10/7/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,10/10/16,10/14/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,10/10/16,10/14/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,10/17/16,10/21/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,10/17/16,10/21/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,10/24/16,10/28/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,10/24/16,10/28/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,FALSE,FALSE,FALSE,10/31/16,11/4/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,FALSE,FALSE,FALSE,10/31/16,11/4/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 07:00,12:00:00 - 07:00,FALSE,FALSE,FALSE,11/7/16,11/7/16,AIP
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 07:00,16:30:00 - 07:00,FALSE,FALSE,FALSE,11/7/16,11/7/16,AIP
