county,officer,email,blank,phone,fax,address_one,address_two,city,state,zip,times,start_date,end_date,time_zone,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,10/11/2016,10/14/2016,central,1,"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0001
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,10/17/2016,10/21/2016,central,2,"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0002
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,10/24/2016,10/28/2016,central,3,"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0003
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,10/31/2016,11/4/2016,central,4,"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0004
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,Lola,KS,66749,8:00-5:00,11/7/2016,11/7/2016,central,5,"1 N Washington, Lola, KS 66749",,8:00 AM-5:00 PM,,ho46088214,false,True,,,,poll0005
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,10/11/2016,10/14/2016,central,6,"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0006
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,10/17/2016,10/21/2016,central,7,"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0007
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,10/24/2016,10/28/2016,central,8,"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0008
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,10/31/2016,11/4/2016,central,9,"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0009
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,Garnett,KS,66032,8:00-5:00,11/7/2016,11/7/2016,central,10,"100 E 4th, Garnett, KS 66032",,8:00 AM-5:00 PM,,ho22014036,false,True,,,,poll0010
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,10/11/2016,10/14/2016,central,11,"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0011
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,10/17/2016,10/21/2016,central,12,"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0012
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,10/24/2016,10/28/2016,central,13,"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0013
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,10/31/2016,11/4/2016,central,14,"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0014
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,Atchison,KS,66002-1861,8:30-5:00,11/7/2016,11/7/2016,central,15,"423 N 5th, Atchison, KS 66002-1861",,8:30 AM-5:00 PM,,ho94568803,false,True,,,,poll0015
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,Medicine Lodge,KS,67104,8:30-5:00,10/11/2016,10/14/2016,central,16,"120 E Washington, Medicine Lodge, KS 67104",,8:30 AM-5:00 PM,,ho13751350,false,True,,,,poll0016
