COUNTY,OFFICER,EMAIL,,PHONE,FAX,ADDRESS1,ADDRESS2,DIRS,CITY,STATE,ZIP,START TIME,END TIME,START,END,TIME ZONE,NOTES 
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8  - 5 M - F through 11/7 at noon that day. 
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,,Lola,KS,66749,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
ALLEN,Sherrie L Riebel,coclerk@allencounty.org,,6203651407,6203651441,1 N Washington,,,Lola,KS,66749,8:00:00 - 06:00,12:00:00 - 05:00,11/7/16,11/7/16,central,
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,begins: 10-19-2016 8  - 5 M - F through 11/7 at noon that day. 
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,,Garnett,KS,66032,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
ANDERSON,Phyllis Gettler,AN_county_clerk@wan.kdor.state.ks.us,,7854486841,7854483205,100 E 4th,,,Garnett,KS,66032,8:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,Starts 10-24-2016 M 0 F 8:30 - 5 except only till noon on 11/7/16 
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
ATCHISON,Pauline M Lee,AT_county_clerk@wan.kdor.state.ks.us,,9133671653,9133670227,423 N 5th,,,Atchison,KS,66002-1861,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,Starts 10-19-2016 8:30 - 5 except on the 7th it closes at noon 
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
BARBER,Debbie Wesley,BA_county_clerk@wan.kdor.state.ks.us,,6208863961,6208865425,120 E Washington,,,Medicine Lodge,KS,67104,8:30:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,central,
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/19/16,10/21/16,central,10-19-2016 8  - 5 M - F except until noon on 11/ 7
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,central,
BARTON,Donna Zimmerman,clerk@bartoncounty.org,,6207931835,6207931990,1400 Main Street,Room 202,,Great Bend,KS,67530,8:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,central,
