countyname,sitename,location_name,address,address2,address3,city,state,zip,directions,voterservices,start_date,end_date,days_times_open
Alachua County,Millhopper Branch Library,Millhopper Branch Library,3145 NW 43rd Street,Voting in the meeting room,Enter on the south side.,Gainesville,FL,32606,"Voting in the meeting room, Enter on the south side.",http://votealachua.com/,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Alachua County,Supervisor of Elections Office,Supervisor of Elections Office,515 N Main Street,,,Gainesville,FL,32601,"1st floor, entrance on south side.",http://votealachua.com/,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Alachua County,Tower Road Branch Library,Tower Road Branch Library,3020 SW 75th Street,Voting in the meeting room,Entrance on west side,Gainesville,FL,32608,"Voting in the meeting room, Enter on the west side.",http://votealachua.com/,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Baker County,,Supervisor of Elections Office,"32 N 5th Street, Suite A",,,Macclenny,FL,32063,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 06:00 PM EDT
Bay County,Lynn Haven City Hall Annex ,Lynn Haven City Hall Annex ,108 E 9th St,,,Lynn Haven,FL,32444,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 07:00 AM CDT to 07:00 PM CDT
Bay County,PCB Senior Center ,PCB Senior Center ,423 Lyndell Ln,,,Panama City Beach,FL,32407,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 07:00 AM CDT to 07:00 PM CDT
Bay County,Springfield Community Bldg ,Springfield Community Bldg ,3728 E 3rd St ,,,Panama City,FL,32401,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 07:00 AM CDT to 07:00 PM CDT
Bay County,Supervisor of Elections Office ,Supervisor of Elections Office ,830 W 11th St,,,Panama City,FL,32401,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 07:00 AM CDT to 07:00 PM CDT
Bradford County,County Commission Meeting Room,County Commissinon Meeting Room,945 N Temple Ave,,,Starke,FL,32091,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 09:00 AM EDT to 06:00 PM EDT
Brevard County,Canova Beach,Canova Beach Park Community Center,2289 A1A,,,Indian Harbour Beach,FL,32937,,,10/24/16,11/5/16,From 2016-10-31 to 2016-11-04 - 08:00 AM EDT to 06:00 PM EDTFrom 2016-10-24 to 2016-10-28 - 08:00 AM EDT to 06:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 08:00 AM EDT to 04:00 PM EDTFrom 2016-10-29 to 2016-10-30 - 08:00 AM EDT to 04:00 PM EDT
