office_name,ocd_division,description,homepage,phone,email,street,dirs,city,state,zip,start_time,end_time,appt_one,appt_two,subject_to_change,start_date,end_date,ev_or_aip,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,9/29/16,9/30/16,AIP,1,"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,False,False,False,9/29/16,9/30/16,AIP,2,"602 Adams Ave, Hettinger, ND 58639",,01:00 PM - 04:30 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,10/3/16,10/7/16,AIP,3,"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,False,False,False,10/3/16,10/7/16,AIP,4,"602 Adams Ave, Hettinger, ND 58639",,01:00 PM - 04:30 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,10/10/16,10/14/16,AIP,5,"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,False,False,False,10/10/16,10/14/16,AIP,6,"602 Adams Ave, Hettinger, ND 58639",,01:00 PM - 04:30 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,10/17/16,10/21/16,AIP,7,"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,False,False,False,10/17/16,10/21/16,AIP,8,"602 Adams Ave, Hettinger, ND 58639",,01:00 PM - 04:30 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,10/24/16,10/28/16,AIP,9,"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
Adams County,ocd-division/country:us/state:nd/county:adams,Adams County ND,,(701) 567-4363,pcarroll@nd.gov,602 Adams Ave,,Hettinger,ND,58639,13:00:00 - 06:00,16:30:00 - 06:00,False,False,False,10/24/16,10/28/16,AIP,10,"602 Adams Ave, Hettinger, ND 58639",,01:00 PM - 04:30 PM,,ho12695324,false,true,,,,poll69818709
