office-name,official-title,ocd-division,homepage-url,phone,email,street,city,state,zip,start time,end time,start_date,end_date
Acworth Town,Town Clerk,ocd-division/country:us/state:nh/place:acworth,www.acworth.cc,(603) 835-6879,atclerk@sover.net,13 Town Hall Road,Acworth,NH,3601,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Albany Town,Town Clerk,ocd-division/country:us/state:nh/place:albany,www.albanynh.org,(603) 447-2877,townclerk@albanynh.org,"Albany Town Hall, 1972 Nh Route 16",Albany,NH,3818,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Alexandria Town,Town Clerk,ocd-division/country:us/state:nh/place:alexandria,www.alexandrianh.com,(603) 744-3288,alextctxcoll@metrocast.net,45 Washburn Road,Alexandria,NH,3222,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Allenstown Town,Town Clerk,ocd-division/country:us/state:nh/place:allenstown,www.allenstownnh.gov,(603) 485-4276 ext 116,krogers@allenstownnh.gov,10 School Street,Allenstown,NH,3275,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Alstead Town,Town Clerk,ocd-division/country:us/state:nh/place:alstead,www.alsteadnh.org,(603) 835-2242,alsteadtownclerk@comcast.net,9 Main Street,Alstead,NH,3602,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Alton Town,Town Clerk,ocd-division/country:us/state:nh/place:alton,www.alton.nh.gov,(603) 875-2101,townclerk@alton.nh.gov,"Pearson Senior Center, 7 Pearson Road",Alton,NH,3809,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Amherst Town,Town Clerk,ocd-division/country:us/state:nh/place:amherst,www.amherstnh.gov,(603) 673-6041,ndemers@amherstnh.gov,412 Boston Post Rd,Amherst,NH,3031,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Andover Town,Town Clerk,ocd-division/country:us/state:nh/place:andover,andover.nh.us,(603) 735-5018,tctc@andover-nh.gov,20 School Street,Andover,NH,3216,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Antrim Town,Town Clerk,ocd-division/country:us/state:nh/place:antrim,www.antrimnh.org,(603) 588-6785,antrimatc@tds.net,"Antrim Town Hall, 66 Main Street",Antrim,NH,3440,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Ashland Town,Town Clerk,ocd-division/country:us/state:nh/place:ashland,www.ashland.nh.gov,(603) 968-4432,ptucker@ashland.nh.gov,27 Highland Street,Ashland,NH,3217,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Atkinson Town,Town Clerk,ocd-division/country:us/state:nh/place:atkinson,www.town-atkinsonnh.com,(603) 362-4920,rcavalear@atkinson-nh.gov,4 Main St,Atkinson,NH,3811,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Auburn Town,Town Clerk,ocd-division/country:us/state:nh/place:auburn,www.auburnnh.us,(603) 483-2281,townclerk@townofauburnnh.com,"Auburn Village School, 11 Eaton Hill Rd",Auburn,NH,3032,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Barnstead Town,Town Clerk,ocd-division/country:us/state:nh/place:barnstead,www.barnstead.org,(603) 269-4631,ctreadwell@barnstead.org,108 S BarnStead Rd,Barnstead,NH,3225,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Barrington Town,Town Clerk,ocd-division/country:us/state:nh/place:barrington,www.barrington.nh.gov,(603) 664-5476,townclrk@metrocast.net,"Barrington Middle School, 51 Haley Dr",Barrington,NH,3825,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bartlett Town,Town Clerk,ocd-division/country:us/state:nh/place:bartlett,www.bartlettnh.org,(603) 356-2300,bartletttownclerk@roadrunner.com,56 Town Hall Road,Intervale,NH,3845,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bath Town,Town Clerk,ocd-division/country:us/state:nh/place:bath,bathnh.info,(603) 747-2454,bathnh@myfairpoint.net,"Bath Village School, 61 Lisbon Rd",Bath,NH,3740,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bedford Town,Town Clerk,ocd-division/country:us/state:nh/place:bedford,www.bedfordnh.org,(603) 472-3550,lradke@bedfordnh.org,"Bedford High School Gymnasium, 47 Nashua Road",Bedford,NH,3110,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Belmont Town,Town Clerk,ocd-division/country:us/state:nh/place:belmont,www.belmontnh.org,(603) 267-8300,tctc@belmontnh.org,255 Seavey Rd,Belmont,NH,3220,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Bennington Town,Town Clerk,ocd-division/country:us/state:nh/place:bennington,http://townofbennington.com/,(603) 588-2189,townclerk@townofbennington.com,"Pierce Elementary School, 19 Main Street",Bennington,NH,3442,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Benton Town,Town Clerk,ocd-division/country:us/state:nh/place:benton,,(603) 787-6541,mstiebitz@att.net,221 Coventry Rd,Benton,NH,3785,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Berlin City,City Clerk,ocd-division/country:us/state:nh/place:berlin,www.berlinnh.gov,(603) 752-2340,dpatrick@berlinnh.gov,672 First Ave,Berlin,NH,3570,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Berlin City,City Clerk,ocd-division/country:us/state:nh/place:berlin,www.berlinnh.gov,(603) 752-2340,dpatrick@berlinnh.gov,304 School St,Berlin,NH,3570,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
