ocd-division,email,County,Location Name,Address 1,Address 2,City,State,coZip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 5:00,16:30:00 - 5:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:aurora,susan.urban@state.sd.us,Aurora County,Aurora County Courthouse,401 N Main St,,Plankinton,SD,57368,8:00:00 - 6:00,17:00:00 - 6:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,9/23/16,9/23/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,9/26/16,9/30/16,FALSE,FALSE,FALSE,FALSE
ocd-division/country:us/state:sd/county:beadle,auditor@beadlesd.org,Beadle County,Beadle County Auditor,450 3rd St. SW,Ste. 201,Huron,SD,57350,8:00:00 - 5:00,17:00:00 - 5:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,FALSE
