name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,ev id,locality id,county
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County
Prosser Auditor's Office,Prosser Auditor's Office,620 Market St,,,Prosser,WA,99350,,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030055,5313003,Benton County
Prosser Auditor's Office,Prosser Auditor's Office,620 Market St,,,Prosser,WA,99350,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030055,5313003,Benton County
Prosser Auditor's Office,Prosser Auditor's Office,620 Market St,,,Prosser,WA,99350,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030055,5313003,Benton County
Prosser Auditor's Office,Prosser Auditor's Office,620 Market St,,,Prosser,WA,99350,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030055,5313003,Benton County
Prosser Auditor's Office,Prosser Auditor's Office,620 Market St,,,Prosser,WA,99350,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,"8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030055,5313003,Benton County
Kennewick Auditor's Office,Kennewick Auditor's Office,5600 W Canal Dr,,,Kennewick,WA,99336,,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030056,5313003,Benton County
Kennewick Auditor's Office,Kennewick Auditor's Office,5600 W Canal Dr,,,Kennewick,WA,99336,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030056,5313003,Benton County
Kennewick Auditor's Office,Kennewick Auditor's Office,5600 W Canal Dr,,,Kennewick,WA,99336,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030056,5313003,Benton County
Kennewick Auditor's Office,Kennewick Auditor's Office,5600 W Canal Dr,,,Kennewick,WA,99336,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,"8a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030056,5313003,Benton County
Kennewick Auditor's Office,Kennewick Auditor's Office,5600 W Canal Dr,,,Kennewick,WA,99336,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,"8a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050030056,5313003,Benton County
Chelan County Auditor - Elections,Chelan County Auditor - Elections,"350 Orondo Ave, Level 3",,,Wenatchee,WA,98801,Located in Auditor's Office Level 3,VSPC,10-21-2016,10-21-2016,09:00:00 - 07:00,17:00:00 - 07:00,"9 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050040014,5313004,Chelan County
Chelan County Auditor - Elections,Chelan County Auditor - Elections,"350 Orondo Ave, Level 3",,,Wenatchee,WA,98801,Located in Auditor's Office Level 3,VSPC,10-24-2016,10-28-2016,09:00:00 - 07:00,17:00:00 - 07:00,"9 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050040014,5313004,Chelan County
Chelan County Auditor - Elections,Chelan County Auditor - Elections,"350 Orondo Ave, Level 3",,,Wenatchee,WA,98801,Located in Auditor's Office Level 3,VSPC,10-31-2016,11-04-2016,09:00:00 - 07:00,17:00:00 - 07:00,"9 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050040014,5313004,Chelan County
Chelan County Auditor - Elections,Chelan County Auditor - Elections,"350 Orondo Ave, Level 3",,,Wenatchee,WA,98801,Located in Auditor's Office Level 3,VSPC,11-07-2016,11-07-2016,09:00:00 - 08:00,17:00:00 - 08:00,"9 a.m. to 5 p.m. Open until 8 p.m. on Election Day.""",53050040014,5313004,Chelan County
Clallam County Auditor's Office,Clallam County Auditor's Office,"223 E 4th St, Suite 1",,,Port Angeles,WA,98362,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,16:30:00 - 07:00,"Office hours are 8:30 a.m. - 4:30 p.m. On Election Day we are open 8:30 a.m. - 8:00 p.m.""",53050050284,5313005,Clallam County
Clallam County Auditor's Office,Clallam County Auditor's Office,"223 E 4th St, Suite 1",,,Port Angeles,WA,98362,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,16:30:00 - 07:00,"Office hours are 8:30 a.m. - 4:30 p.m. On Election Day we are open 8:30 a.m. - 8:00 p.m.""",53050050284,5313005,Clallam County
Clallam County Auditor's Office,Clallam County Auditor's Office,"223 E 4th St, Suite 1",,,Port Angeles,WA,98362,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,"Office hours are 8:30 a.m. - 4:30 p.m. On Election Day we are open 8:30 a.m. - 8:00 p.m.""",53050050284,5313005,Clallam County
Clallam County Auditor's Office,Clallam County Auditor's Office,"223 E 4th St, Suite 1",,,Port Angeles,WA,98362,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,16:30:00 - 08:00,"Office hours are 8:30 a.m. - 4:30 p.m. On Election Day we are open 8:30 a.m. - 8:00 p.m.""",53050050284,5313005,Clallam County
Clark County Elections Office,Clark County Elections Office,1408 Franklin Street,,,Vancouver,WA,98660,,VSPC,10-21-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,8  a.m. to 5  p.m. 7 am to 8 pm ELECTION DAY ONLY,53050060242,5313006,Clark County
Clark County Elections Office,Clark County Elections Office,1408 Franklin Street,,,Vancouver,WA,98660,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,8  a.m. to 5  p.m. 7 am to 8 pm ELECTION DAY ONLY,53050060242,5313006,Clark County
Clark County Elections Office,Clark County Elections Office,1408 Franklin Street,,,Vancouver,WA,98660,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8  a.m. to 5  p.m. 7 am to 8 pm ELECTION DAY ONLY,53050060242,5313006,Clark County
Clark County Elections Office,Clark County Elections Office,1408 Franklin Street,,,Vancouver,WA,98660,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8  a.m. to 5  p.m. 7 am to 8 pm ELECTION DAY ONLY,53050060242,5313006,Clark County
Clark County Elections Office,Clark County Elections Office,1408 Franklin Street,,,Vancouver,WA,98660,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,8  a.m. to 5  p.m. 7 am to 8 pm ELECTION DAY ONLY,53050060242,5313006,Clark County
Columbia County Auditor's Office,Columbia County Auditor's Office,341 East Main Street,,,Dayton,WA,99328,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050070159,5313007,Columbia County
Columbia County Auditor's Office,Columbia County Auditor's Office,341 East Main Street,,,Dayton,WA,99328,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050070159,5313007,Columbia County
Columbia County Auditor's Office,Columbia County Auditor's Office,341 East Main Street,,,Dayton,WA,99328,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050070159,5313007,Columbia County
Columbia County Auditor's Office,Columbia County Auditor's Office,341 East Main Street,,,Dayton,WA,99328,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050070159,5313007,Columbia County
Columbia County Auditor's Office,Columbia County Auditor's Office,341 East Main Street,,,Dayton,WA,99328,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,16:30:00 - 08:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050070159,5313007,Columbia County
Cowlitz County Auditor's Office,Cowlitz County Auditor's Office,207 4th Avenue N. Rm 107,,,Kelso,WA,98626,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050080157,5313008,Cowlitz County
Cowlitz County Auditor's Office,Cowlitz County Auditor's Office,207 4th Avenue N. Rm 107,,,Kelso,WA,98626,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050080157,5313008,Cowlitz County
Cowlitz County Auditor's Office,Cowlitz County Auditor's Office,207 4th Avenue N. Rm 107,,,Kelso,WA,98626,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050080157,5313008,Cowlitz County
Cowlitz County Auditor's Office,Cowlitz County Auditor's Office,207 4th Avenue N. Rm 107,,,Kelso,WA,98626,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050080157,5313008,Cowlitz County
Cowlitz County Auditor's Office,Cowlitz County Auditor's Office,207 4th Avenue N. Rm 107,,,Kelso,WA,98626,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,17:00:00 - 08:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050080157,5313008,Cowlitz County
Douglas County Auditor's Office,Douglas County Auditor's Office,213 S Rainier St,,,Waterville,WA,98858,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050090160,5313009,Douglas County
Douglas County Auditor's Office,Douglas County Auditor's Office,213 S Rainier St,,,Waterville,WA,98858,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050090160,5313009,Douglas County
Douglas County Auditor's Office,Douglas County Auditor's Office,213 S Rainier St,,,Waterville,WA,98858,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050090160,5313009,Douglas County
Douglas County Auditor's Office,Douglas County Auditor's Office,213 S Rainier St,,,Waterville,WA,98858,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050090160,5313009,Douglas County
Douglas County Auditor's Office,Douglas County Auditor's Office,213 S Rainier St,,,Waterville,WA,98858,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,16:30:00 - 08:00,"8:30 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.""",53050090160,5313009,Douglas County
Ferry County Courthouse,Ferry County Courthouse,350 E. Delaware Ave,,,Republic ,WA,99166,,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,16:00:00 - 07:00,8  a.m. to 4  p.m. Phone number (509)775-5200.Office is open from 7 a.m. to 8 p.m. on Election Day only.,53050100005,5313010,Ferry County
Ferry County Courthouse,Ferry County Courthouse,350 E. Delaware Ave,,,Republic ,WA,99166,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,16:00:00 - 07:00,8  a.m. to 4  p.m. Phone number (509)775-5200.Office is open from 7 a.m. to 8 p.m. on Election Day only.,53050100005,5313010,Ferry County
Ferry County Courthouse,Ferry County Courthouse,350 E. Delaware Ave,,,Republic ,WA,99166,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,16:00:00 - 07:00,8  a.m. to 4  p.m. Phone number (509)775-5200.Office is open from 7 a.m. to 8 p.m. on Election Day only.,53050100005,5313010,Ferry County
Ferry County Courthouse,Ferry County Courthouse,350 E. Delaware Ave,,,Republic ,WA,99166,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,16:00:00 - 07:00,8  a.m. to 4  p.m. Phone number (509)775-5200.Office is open from 7 a.m. to 8 p.m. on Election Day only.,53050100005,5313010,Ferry County
Ferry County Courthouse,Ferry County Courthouse,350 E. Delaware Ave,,,Republic ,WA,99166,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,16:00:00 - 08:00,8  a.m. to 4  p.m. Phone number (509)775-5200.Office is open from 7 a.m. to 8 p.m. on Election Day only.,53050100005,5313010,Ferry County
Franklin County Auditor's Office,Franklin County Auditor's Office,1016 N. 4th Ave,,,Pasco,WA,99301,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050110149,5313011,Franklin County
Franklin County Auditor's Office,Franklin County Auditor's Office,1016 N. 4th Ave,,,Pasco,WA,99301,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050110149,5313011,Franklin County
Franklin County Auditor's Office,Franklin County Auditor's Office,1016 N. 4th Ave,,,Pasco,WA,99301,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050110149,5313011,Franklin County
Franklin County Auditor's Office,Franklin County Auditor's Office,1016 N. 4th Ave,,,Pasco,WA,99301,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050110149,5313011,Franklin County
Franklin County Auditor's Office,Franklin County Auditor's Office,1016 N. 4th Ave,,,Pasco,WA,99301,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,17:00:00 - 08:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050110149,5313011,Franklin County
Garfield County Auditor's Office Voter Service Center (VSPC),Garfield County Auditor's Office,789 Main St,,,Pomeroy,WA,99347,,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050120161,5313012,Garfield County
Garfield County Auditor's Office Voter Service Center (VSPC),Garfield County Auditor's Office,789 Main St,,,Pomeroy,WA,99347,,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050120161,5313012,Garfield County
Garfield County Auditor's Office Voter Service Center (VSPC),Garfield County Auditor's Office,789 Main St,,,Pomeroy,WA,99347,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050120161,5313012,Garfield County
Garfield County Auditor's Office Voter Service Center (VSPC),Garfield County Auditor's Office,789 Main St,,,Pomeroy,WA,99347,,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,17:00:00 - 07:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050120161,5313012,Garfield County
Garfield County Auditor's Office Voter Service Center (VSPC),Garfield County Auditor's Office,789 Main St,,,Pomeroy,WA,99347,,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,17:00:00 - 08:00,8:30 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050120161,5313012,Garfield County
Grant County Auditor's Office,Grant County Auditor's Office,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050130162,5313013,Grant County
Grant County Auditor's Office,Grant County Auditor's Office,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050130162,5313013,Grant County
Grant County Auditor's Office,Grant County Auditor's Office,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050130162,5313013,Grant County
Grant County Auditor's Office,Grant County Auditor's Office,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050130162,5313013,Grant County
Grant County Auditor's Office,Grant County Auditor's Office,35 C St NW,,,Ephrata,WA,98823,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050130162,5313013,Grant County
Grant County Election Dept.,Grant County Election Dept.,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-21-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5  p.m. Open until 8 p.m. on Election Day.,53050130338,5313013,Grant County
Grant County Election Dept.,Grant County Election Dept.,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5  p.m. Open until 8 p.m. on Election Day.,53050130338,5313013,Grant County
Grant County Election Dept.,Grant County Election Dept.,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5  p.m. Open until 8 p.m. on Election Day.,53050130338,5313013,Grant County
Grant County Election Dept.,Grant County Election Dept.,35 C St NW,,,Ephrata,WA,98823,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5  p.m. Open until 8 p.m. on Election Day.,53050130338,5313013,Grant County
Grant County Election Dept.,Grant County Election Dept.,35 C St NW,,,Ephrata,WA,98823,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,8 a.m. to 5  p.m. Open until 8 p.m. on Election Day.,53050130338,5313013,Grant County
Grays Harbor County Auditor,Grays Harbor County Auditor,100 W Broadway,Ste 2,,Montesano,WA,98563,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse. Handicapped parking is available at the rear of the building.,VSPC,10-19-2016,10-21-2016,09:00:00 - 07:00,16:30:00 - 07:00,9 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.,53050140135,5313014,Grays Harbor County
Grays Harbor County Auditor,Grays Harbor County Auditor,100 W Broadway,Ste 2,,Montesano,WA,98563,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse. Handicapped parking is available at the rear of the building.,VSPC,10-24-2016,10-28-2016,09:00:00 - 07:00,16:30:00 - 07:00,9 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.,53050140135,5313014,Grays Harbor County
Grays Harbor County Auditor,Grays Harbor County Auditor,100 W Broadway,Ste 2,,Montesano,WA,98563,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse. Handicapped parking is available at the rear of the building.,VSPC,10-31-2016,11-04-2016,09:00:00 - 07:00,16:30:00 - 07:00,9 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.,53050140135,5313014,Grays Harbor County
Grays Harbor County Auditor,Grays Harbor County Auditor,100 W Broadway,Ste 2,,Montesano,WA,98563,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse. Handicapped parking is available at the rear of the building.,VSPC,10-31-2016,11-04-2016,09:00:00 - 07:00,16:30:00 - 07:00,9 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.,53050140135,5313014,Grays Harbor County
Grays Harbor County Auditor,Grays Harbor County Auditor,100 W Broadway,Ste 2,,Montesano,WA,98563,The Auditor's Office is located on the first floor of the Grays Harbor County Admin Building next to the courthouse. Handicapped parking is available at the rear of the building.,VSPC,11-07-2016,11-07-2016,09:00:00 - 08:00,16:30:00 - 08:00,9 a.m. to 4:30 p.m. Open until 8 p.m. on Election Day.,53050140135,5313014,Grays Harbor County
Island County Auditor's Office Voter Service Center (VSPC),Island County Auditor's Office,400 North Main Street,,,Coupeville,WA,98239,,VSPC,10-19-2016,10-20-2016,09:00:00 - 07:00,16:00:00 - 07:00,"Office is open Monday through Thursday 9:00 a.m. to 4:00 p.m.On Election Day only, the office is open until 8:00 p.m.",53050150163,5313015,Island County
Island County Auditor's Office Voter Service Center (VSPC),Island County Auditor's Office,400 North Main Street,,,Coupeville,WA,98239,,VSPC,10-24-2016,10-27-2016,09:00:00 - 07:00,16:00:00 - 07:00,"Office is open Monday through Thursday 9:00 a.m. to 4:00 p.m.On Election Day only, the office is open until 8:00 p.m.",53050150163,5313015,Island County
Island County Auditor's Office Voter Service Center (VSPC),Island County Auditor's Office,400 North Main Street,,,Coupeville,WA,98239,,VSPC,10-31-2016,11-03-2016,09:00:00 - 07:00,16:00:00 - 07:00,"Office is open Monday through Thursday 9:00 a.m. to 4:00 p.m.On Election Day only, the office is open until 8:00 p.m.",53050150163,5313015,Island County
Island County Auditor's Office Voter Service Center (VSPC),Island County Auditor's Office,400 North Main Street,,,Coupeville,WA,98239,,VSPC,11-07-2016,11-07-2016,09:00:00 - 08:00,16:00:00 - 08:00,"Office is open Monday through Thursday 9:00 a.m. to 4:00 p.m.On Election Day only, the office is open until 8:00 p.m.",53050150163,5313015,Island County
Jefferson County Auditor,Jefferson County Auditor,1820 Jefferson St,,,Port Townsend,WA,98368,Jefferson & Cass Streets. Auditor's Office is located on the first floor of the County Courthouse.,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30 a.m. to 4:30 p.m. Election Day hours are 8 a.m. to 8 p.m.,53050160241,5313016,Jefferson County
Jefferson County Auditor,Jefferson County Auditor,1820 Jefferson St,,,Port Townsend,WA,98368,Jefferson & Cass Streets. Auditor's Office is located on the first floor of the County Courthouse.,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30 a.m. to 4:30 p.m. Election Day hours are 8 a.m. to 8 p.m.,53050160241,5313016,Jefferson County
Jefferson County Auditor,Jefferson County Auditor,1820 Jefferson St,,,Port Townsend,WA,98368,Jefferson & Cass Streets. Auditor's Office is located on the first floor of the County Courthouse.,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30 a.m. to 4:30 p.m. Election Day hours are 8 a.m. to 8 p.m.,53050160241,5313016,Jefferson County
