office-name,title,ocd_division,description,homepage,phone,email,loc_name,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,subject_to_change,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/12/16,10/14/16,FALSE,,1,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 04:30 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16,FALSE,,2,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 04:30 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/24/16,10/28/16,FALSE,,3,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 04:30 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,10/29/16,10/29/16,FALSE,,4,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 03:00 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,FALSE,,5,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 04:30 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 04:00,15:00:00 - 04:00,11/5/16,11/5/16,FALSE,,6,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 03:00 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Circuit Court Clerk,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,112 S. 2nd Street,Room A,Decatur,IN,46733,08:00:00 - 05:00,12:00:00 - 05:00,11/7/16,11/7/16,FALSE,,7,"112 S. 2nd Street, Decatur, IN 46733",Room A,08:00 AM - 12:00 PM,,ho73363540,FALSE,TRUE,,,,poll926381
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,10/29/16,10/29/16,FALSE,,8,"1403 Winchester Rd., Decatur, IN 46733",,09:00 AM - 04:00 PM,,ho38879117,FALSE,TRUE,,,,poll86613747
Adams County,Bridge Community Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,1403 Winchester Rd. ,,Decatur,IN,46733,09:00:00 - 04:00,16:00:00 - 04:00,11/5/16,11/5/16,FALSE,,9,"1403 Winchester Rd., Decatur, IN 46733",,09:00 AM - 04:00 PM,,ho38879117,FALSE,TRUE,,,,poll86613747
Adams County,FIrst Missionary Church,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,950 US Hwy 27 S. ,,Berne ,IN,46711,09:00:00 - 04:00,16:00:00 - 04:00,11/1/16,11/1/16,FALSE,,10,"950 US Hwy 27 S., Berne , IN 46711",,09:00 AM - 04:00 PM,,ho14393316,FALSE,TRUE,,,,poll61719783
Adams County,Woodcrest,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,1300 Mercer Ave. ,,Decatur,IN,46733,10:00:00 - 04:00,16:00:00 - 04:00,10/27/16,10/27/16,FALSE,,11,"1300 Mercer Ave., Decatur, IN 46733",,10:00 AM - 04:00 PM,,ho65076589,FALSE,TRUE,,,,poll29874758
Adams County,Swiss Village Auditorium,ocd-division/country:us/state:in/county:adams,Adams County IN,http://www.co.adams.in.us/174/Clerks-Office,(260) 724-5309,jvoglewede@co.adams.in.us,,1350 W. Main St. ,,Berne ,IN,46711,12:00:00 - 04:00,20:00:00 - 04:00,11/3/16,11/3/16,FALSE,,12,"1350 W. Main St., Berne , IN 46711",,12:00 PM - 08:00 PM,,ho87903406,FALSE,TRUE,,,,poll76936264
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,16:30:00 - 04:00,10/12/16,10/14/16,FALSE,,13,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 04:30 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
Allen County,County Election Board,ocd-division/country:us/state:in/county:allen,Allen County IN,http://www.allencounty.us/election-board,(260) 449-7329,electionboard@co.allen.in.us,,1 E Main Street,Suite 172,Fort Wayne,IN,46802,08:00:00 - 04:00,16:30:00 - 04:00,10/17/16,10/21/16,FALSE,,14,"1 E Main Street, Fort Wayne, IN 46802",Suite 172,08:00 AM - 04:30 PM,,ho83201162,FALSE,TRUE,,,,poll75610980
