spr,title,ocd_division,description,homepage,phone,email,loc_name,adr_1,adr_2,city,state,zip,start_time,end_time,start_date,end_date,notes,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"8-6 M-F , 10-4 two Saturdays prior to election, Monday before the election 8-5",1,,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 06:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,,2,,"101 Court Square, Dewitt, AR 72042",,10:00 AM - 04:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,,3,,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 06:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,,4,,"101 Court Square, Dewitt, AR 72042",,10:00 AM - 04:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County,County Clerk,ocd-division/country:us/state:ar/county:arkansas,Arkansas County AR,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,101 Court Square,,Dewitt,AR,72042,08:00:00 - 05:00,17:00:00 - 06:00,11/7/2016,11/7/2016,,5,,"101 Court Square, Dewitt, AR 72042",,08:00 AM - 05:00 PM,,ho35080659,false,true,,,,poll21329873
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,,6,,"302 South College, Stuttgart, AR 72160",,08:00 AM - 06:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,,7,,"302 South College, Stuttgart, AR 72160",,10:00 AM - 04:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,,8,,"302 South College, Stuttgart, AR 72160",,08:00 AM - 06:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,,9,,"302 South College, Stuttgart, AR 72160",,10:00 AM - 04:00 PM,,ho26176157,false,true,,,,poll15704214
Arkansas County AR,,ocd-division/country:us/state:ar/county:arkansas,,,(870) 946-4349,arkansasclerk@arkansasclerks.com,,302 South College,,Stuttgart,AR,72160,08:00:00 - 05:00,17:00:00 - 05:00,11/7/2016,11/7/2016,,10,,"302 South College, Stuttgart, AR 72160",,08:00 AM - 05:00 PM,,ho26176157,false,true,,,,poll15704214
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/24/2016,10/28/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",11,Ashley County Clerk,"205 East Jefferson, Hamburg, AR 71646",#5,08:00 AM - 06:00 PM,,ho44730125,false,true,,,,poll58688282
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,10/29/2016,10/29/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",12,Ashley County Clerk,"205 East Jefferson, Hamburg, AR 71646",#5,10:00 AM - 04:00 PM,,ho44730125,false,true,,,,poll58688282
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,08:00:00 - 05:00,18:00:00 - 05:00,10/31/2016,11/4/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",13,Ashley County Clerk,"205 East Jefferson, Hamburg, AR 71646",#5,08:00 AM - 06:00 PM,,ho44730125,false,true,,,,poll58688282
Ashley County,County Clerk,ocd-division/country:us/state:ar/county:ashley,Ashley County AR,,(870) 853-2020,ashleycoclerk@sbcglobal.net,Ashley County Clerk,205 East Jefferson,#5,Hamburg,AR,71646,10:00:00 - 05:00,16:00:00 - 05:00,11/5/2016,11/5/2016,"October 24 - October 28th, 2016 - from 08:00 a.m. - 06:00 p.m. and on October 29th from 10:00 a.m. - 04:00 p.m., then October 31 - November 4, 2016 from 08:00 a.m. - 06:00 p.m. and then November 5, 2016 from 10:00 a.m. - 04:00 p.m. and then on November 7, 2016 from 08:00 a.m. - 05:00 p.m.",14,Ashley County Clerk,"205 East Jefferson, Hamburg, AR 71646",#5,10:00 AM - 04:00 PM,,ho44730125,false,true,,,,poll58688282
