office-name,ocd-division,phone,email,precinct,directions,name,address 1,address 2,city,state,zip,start_time,end_time
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,15 - Almyra,,Almyra Community Center,107 Elizabeth St,,Almyra,AR,72003,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,14 - Mill Bayou,,Almyra Community Center,107 Elizabeth St,,Almyra,AR,72003,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,13 - Keaton,,Almyra Community Center,107 Elizabeth St,,Almyra,AR,72003,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,51 - DeWitt 1,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,53 - Dewitt 2,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,55 - Dewitt 3,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,22 - Lagrue,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,37 - PT Deluce,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,38 - Bayou Meto,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,45 - Brewer,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,46 - Garland,,DeWitt Community Center,#1 Ron Fowler Rd,,DeWitt,AR,72042,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,34 - Gillett Ward 1,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,35 - Gillett Ward 2,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,36 - Gillett Ward 3,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,32 - Arkansas,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,33 - Stanley,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,31 - Chester,,Gillett City Hall,209 W. Main,,Gillett,AR,72055,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,47 - Humphrey Ward 1,,Humphrey City Hall,113 South Division,,Humphrey,AR,72073,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,48 - Humphrey Ward 3,,Humphrey City Hall,113 South Division,,Humphrey,AR,72073,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,44 - Henton,,Humphrey City Hall,113 South Division,,Humphrey,AR,72073,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,43 - Barton,,Humphrey City Hall,113 South Division,,Humphrey,AR,72073,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,23 - St. Charles,,St Charles Fire Station,610 Broadway,,St. Charles,AR,72140,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,12 - Crockett,,St Charles Fire Station,610 Broadway,,St. Charles,AR,72140,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,21 - Prairie,,St Charles Fire Station,610 Broadway,,St. Charles,AR,72140,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,71 - Stuttgart 1,,Grand Prairie Center,2709 Hwy 165 S,,Stuttgart,AR,72160,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,81 - Stuttgart 2,,Grand Prairie Center,2709 Hwy 165 S,,Stuttgart,AR,72160,07:30:00 - 06:00,19:30:00 - 06:00
Arkansas County,ocd-division/country:us/state:ar/county:arkansas,(870) 946-4349,arkansasclerk@arkansasclerks.com,91 - Stuttgart 3,,Grand Prairie Center,2709 Hwy 165 S,,Stuttgart,AR,72160,07:30:00 - 06:00,19:30:00 - 06:00
