office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,mailing-street,mailing-city,mailing-state,mailing-zip
Abbot Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:abbot,Abbot Town ME,,(207) 876-3340,,,,ME,,PO Box 120,Abbot,ME,04406
Acton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:acton,Acton Town ME,,(207) 636-3131,,35 H Road,Acton,ME,04001,,,,
Addison Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water St,Addison,ME,04606,PO Box 142,Addison,ME,04606
Addison Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:addison,Addison Town ME,,(207) 483-4678,,334 Water Street,Addison,ME,04606,PO Box 142,Addison,ME,04606
Albany Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:albany,Albany Township ME,,(207) 824-3191,,1420 Hunts Corner Road,Albany Twp,ME,04217,,,,
Albion Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:albion,Albion Town ME,,(207) 437-2900,,22 Main St,Albion,ME,04910,,,,
Alexander Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:alexander,Alexander Town ME,,(207) 454-3011,,50 Cooper Road,Alexander,ME,04694,,,,
Alfred Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:alfred,Alfred Town ME,,(207) 324-5872,,16 Saco Road,Alfred,ME,04002,PO Box 850,Alfred,ME,04002
Allagash Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:allagash,Allagash Town ME,,(207) 398-3198,,1063 Allagash Road,Allagash,ME,04774,,,,
Alna Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:alna,Alna Town ME,,(207) 586-5313,,1568 Alna Road,Alna,ME,04535,,,,
Alton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:alton,Alton Town ME,,(207) 394-2601,,3352 Bennoch Road,Alton,ME,04468,,,,
Amherst Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:amherst,Amherst Town ME,,(207) 584-2173,,638 Airline Rd,Amherst,ME,04605,,,,
Amity Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,04471,,,,
Amity Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:amity,Amity Town ME,,(207) 532-2485,,82 School House Road 30,Orient,ME,04771,,,,
Andover Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:andover,Andover Town ME,,(207) 392-3302,,19 Stilman Road,Andover,ME,04216,PO Box 291,Andover,ME,04216
Anson Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:anson,Anson Town ME,,(207) 696-3979,,5 Kennebec Street,Anson,ME,04911,PO Box 297,Anson,ME,04911
Appleton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:appleton,Appleton Town ME,,(207) 785-4722,,2915 Sennebec Road,Appleton,ME,04862,,,,
Arrowsic Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:arrowsic,Arrowsic Town ME,,(207) 443-4609,,340 Arrowsic Road,Arrowsic,ME,04530,,,,
Arrowsic Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:arrowsic,Arrowsic Town ME,,(207) 443-4609,,340 Arrowsic Road,Arrowsic,ME,04530,,,,
Arundel Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:arundel,Arundel Town ME,,(207) 985-4201,,468 Limerick Rd,Arundel,ME,04046,,,,
Ashland Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,04732,PO Box 910,Ashland,ME,04732
Ashland Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:ashland,Ashland Town ME,,(207) 435-2311,,17 Bridgham St,Ashland,ME,04732,PO Box 910,Ashland,ME,04732
Athens Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:athens,Athens Town ME,,(207) 654-2167,,228 Dore Hill Road,Athens,ME,04912,,,,
Atkinson Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:atkinson,Atkinson Town ME,,(207) 564-7273,,102 No. Stagecoach Rd.,Atkinson,ME,04426,,,,
Auburn City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:auburn,Auburn City ME,,(207) 333-6600,,"60 Court Street, Suite 150",Auburn,ME,04210,,,,
Augusta City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:augusta,Augusta City ME,,(207) 620-8199,,16 Cony St.,Augusta,ME,04330,,,,
Aurora Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:aurora,Aurora Town ME,,(207) 584-2431,,,,ME,,PO Box 86,Aurora,ME,04408
Aurora Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:aurora,Aurora Town ME,,(207) 584-2334,,15 Silsby Hill Road,Aurora,ME,04408,,,,
Avon Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:avon,Avon Town ME,,(207) 639-5326,,1116 Rangeley Rd,Phillips,ME,04966,PO Box 330,Phillips,ME,04966
Baileyville Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:baileyville,Baileyville Town ME,,(207) 427-3442,,63 Broadway Street,Baileyville,ME,04694,PO Box 370,Baileyville,ME,04694
