office-name,official-title,ocd-division,homepage-url,phone,email,directions,precinct name,name,street,City,state,zip,start time,end time
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,01B,380 Altamaha Fire Dept,380 Altamaha School Rd,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,01C,1st. Assembly of God Church,3397 Hatch Pkwy. N,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,2,Lions Club Building,245 Industrial Dr,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,03A,144 Fire Station,12080 GA Hwy 144,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,3A1,Zion Baptist Church,525 Zion Baptist Church Rd,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,03B,Surrency Voting Building,36 W Hart St,Surrency,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,03C,Old Comm. Community Hall,83 Oak St,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,04A,County Line Fire Station,2395 Lake Chapel Church Rd,Bristol,GA,,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,04B,Zion Church of God,16 Pratt Hutto Rd,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,04C,Red Oak Baptist Church,4686 Red Oak Rd,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,04D,Baxley Church of God,353 Blackshear Hwy,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,05A,"Baxley, City Gym",252 W Parker St,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,05B,Graham City Hall,9659 Golden Isle W,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Appling County,County Chief Registrar,ocd-division/country:us/state:ga/county:appling,,(912) 367-8113,applingregdon@yahoo.com,,05C,Co. Farm Rd. Fire Station,7147 Buckhead Rd,Baxley,GA,31513,07:00:00 - 05:00,19:00:00 - 05:00
Atkinson County,County Election Supervisor,ocd-division/country:us/state:ga/county:atkinson,,(912) 422-3003,atcoelections@hotmail.com,,1,ATKINSON CO ELECTION OFFICE,636 AUSTIN AVENUE E,PEARSON,GA,31642,07:00:00 - 05:00,19:00:00 - 05:00
Atkinson County,County Election Supervisor,ocd-division/country:us/state:ga/county:atkinson,,(912) 422-3003,atcoelections@hotmail.com,,2,AXSON FIRE DEPT,7191 ATKINSON BLVD E,AXSON,GA,31624,07:00:00 - 05:00,19:00:00 - 05:00
Atkinson County,County Election Supervisor,ocd-division/country:us/state:ga/county:atkinson,,(912) 422-3003,atcoelections@hotmail.com,,3,WILLACOOCHEE CITY HALL,33 FLEETWOOD AVENUE,WILLACOOCHEE,GA,31650,07:00:00 - 05:00,19:00:00 - 05:00
Atkinson County,County Election Supervisor,ocd-division/country:us/state:ga/county:atkinson,,(912) 422-3003,atcoelections@hotmail.com,,4,PEARSON CIVIC CENTER,786 AUSTIN AVENUE EAST,PEARSON,GA,31642,07:00:00 - 05:00,19:00:00 - 05:00
Bacon County,County Election Supervisor,ocd-division/country:us/state:ga/county:bacon,,(912) 632-5551,arussell@baconcounty.org,,NEW L,NEW LACY VOLUNTER FIRE DEPARTMENT,1758 HIGHWAY 32 E,ALMA,GA,31510,07:00:00 - 05:00,19:00:00 - 05:00
Bacon County,County Election Supervisor,ocd-division/country:us/state:ga/county:bacon,,(912) 632-5551,arussell@baconcounty.org,,TAYLO,TAYLORTOWN VOLUNTEER FIRE DEPARTMENT,1092 IOWA RIVER RD,ALMA,GA,31510,07:00:00 - 05:00,19:00:00 - 05:00
Bacon County,County Election Supervisor,ocd-division/country:us/state:ga/county:bacon,,(912) 632-5551,arussell@baconcounty.org,,WARE,WARE VOLUNTEER FIRE DEPARTMENT,203 ELIZABETH CHAPEL RD,ALMA,GA,31510,07:00:00 - 05:00,19:00:00 - 05:00
Bacon County,County Election Supervisor,ocd-division/country:us/state:ga/county:bacon,,(912) 632-5551,arussell@baconcounty.org,,WARNO,WARNOCK VOLUNTEER FIRE DEPARTMENT,2803 HIGHWAY 23N,ALMA,GA,31510,07:00:00 - 05:00,19:00:00 - 05:00
Bacon County,County Election Supervisor,ocd-division/country:us/state:ga/county:bacon,,(912) 632-5551,arussell@baconcounty.org,,DOUGL,BACON COUNTY BOARD OF ELECTIONS AND REGISTRATIONS,232 WEST 12TH STREET,ALMA,GA,31510,07:00:00 - 05:00,19:00:00 - 05:00
Baker County,County Election Supervisor,ocd-division/country:us/state:ga/county:baker,,(229) 734-3019,bd.elect@bakercountyga.com,,A,,1000 GA Hwy 200,Leary,GA,39862,07:00:00 - 05:00,19:00:00 - 05:00
Baker County,County Election Supervisor,ocd-division/country:us/state:ga/county:baker,,(229) 734-3019,bd.elect@bakercountyga.com,,E,,1694 Jericho Rd.,Newton,GA,39870,07:00:00 - 05:00,19:00:00 - 05:00
Baker County,County Election Supervisor,ocd-division/country:us/state:ga/county:baker,,(229) 734-3019,bd.elect@bakercountyga.com,,H,,5600 Hoggard's Mill Rd.,Colquitt,GA,39837,07:00:00 - 05:00,19:00:00 - 05:00
Baker County,County Election Supervisor,ocd-division/country:us/state:ga/county:baker,,(229) 734-3019,bd.elect@bakercountyga.com,,M,,1512 Patmos Milford Hwy.,Leary,GA,39862,07:00:00 - 05:00,19:00:00 - 05:00
Baker County,County Election Supervisor,ocd-division/country:us/state:ga/county:baker,,(229) 734-3019,bd.elect@bakercountyga.com,,N,,108 S. Main St.,Newton,GA,39870,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,1714,,164 Gordon Highway SW,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,322,,252 Coopers Road,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,321W,,312 Allen Memorial Drive,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,321E,,124 Thomas Street,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,319,,398 GA HWY 22W,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY2,,121 N. Wilkinson Street,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY3,,127 E. Hancock Street,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,MONT,,207 Lovers Lane NE,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY2,,201 West Thomas Street,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY3,,1340 Orchard Hill Street,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY6,,751 Dunlap Road,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,MERI,,781 GA HWY 212 NW,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,318,,184 Log Cabin Road NE,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Baldwin County,County Chief Registrar,ocd-division/country:us/state:ga/county:baldwin,www.baldwincountyga.com/dept-directory/voter-regis,(478) 445-4526,vrbaldc@baldwincountyga.com,,CTY1,,59 GA HWY 22 W,Milledgeville,GA,31061,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,1,Anderson Precinct Building,195 Hogan Street,Maysville,GA,30558,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,2,Baldwin Precinct Building,1216 Park Avenue,Baldwin,GA,30511,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,3,Berlin Precinct Building,989 Berlin Road,Homer,GA,30547,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,4,Banks CroSaint Simons Islandng Fire Dept.,613 Industrial Park Blvd,Commerce,GA,30530,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,5,Lamar Christian Church Fellowship Hall,3247 Highway 105,Baldwin,GA,30511,07:00:00 - 05:00,19:00:00 - 05:00
Banks County,County Chief Registrar,ocd-division/country:us/state:ga/county:banks,http://co.banks.ga.us/dept-elections.html,(706) 677-6260,registrars@co.banks.ga.us,,6,"New Salem Methodist Church, Fellowship Hall",3170 Highway 59,Commerce,GA,30530,07:00:00 - 05:00,19:00:00 - 05:00
