office-name,official-title,ocd-division,division-description,homepage-url,phone,email,location name,address 1,address 2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10-17-2016,10-21-2016,no,no,,
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10-24-2016,10-28-2016,no,no,,
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,18:00:00 - 06:00,10-31-2016,11-03-2016,no,no,,
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,10:00:00 - 06:00,16:00:00 - 06:00,10-29-2016,10-29-2016,no,no,,
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,Ada County Clerk,400 N Benjamin Lane,Suite 100,Boise,ID,83704,7:00:00 - 06:00,17:00:00 - 06:00,11-04-2016,11-04-2016,no,no,,
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10-17-2016,10-21-2016,,,,
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10-24-2016,10-28-2016,,,,
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,18:00:00 - 06:00,10-31-2016,11-03-2016,,,,
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Meridien City Hall,33 E. Broadway Ave.,,Meridien,ID,83642,9:00:00 - 06:00,17:00:00 - 06:00,11-04-2016,11-04-2016,,,,
Ada County,,ocd-division/country:us/state:id/county:ada,,,,,Eagle Senior Center,312 E. State St.,,Eagle,ID,83616,9:00:00 - 06:00,18:00:00 - 06:00,10-17-2016,10-21-2016,,,,
