office_name,official_title,types,ocd_division,division_description,homepage_url,phone,location_name,address1,address2,city,state,zip_code,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,102 Robertsville Rd,102 Robertsville Rd,,Oak Ridge,TN,37830,10:00:00 - 04:00,18:00:00 - 04:00,10-19-16,10-21-16,1,"102 Robertsville Rd, Oak Ridge, TN 37830",,10:00 AM-06:00 PM,,ho7751608,false,true,,,,poll68212145
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,102 Robertsville Rd,102 Robertsville Rd,,Oak Ridge,TN,37830,09:00:00 - 04:00,12:00:00 - 04:00,10-22-16,10-22-16,2,"102 Robertsville Rd, Oak Ridge, TN 37830",,09:00 AM-12:00 PM,,ho7751608,false,true,,,,poll68212145
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,102 Robertsville Rd,102 Robertsville Rd,,Oak Ridge,TN,37830,10:00:00 - 04:00,18:00:00 - 04:00,10-24-16,10-28-16,3,"102 Robertsville Rd, Oak Ridge, TN 37830",,10:00 AM-06:00 PM,,ho7751608,false,true,,,,poll68212145
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,102 Robertsville Rd,102 Robertsville Rd,,Oak Ridge,TN,37830,09:00:00 - 04:00,12:00:00 - 04:00,10-29-16,10-29-16,4,"102 Robertsville Rd, Oak Ridge, TN 37830",,09:00 AM-12:00 PM,,ho7751608,false,true,,,,poll68212145
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,102 Robertsville Rd,102 Robertsville Rd,,Oak Ridge,TN,37830,10:00:00 - 04:00,18:00:00 - 04:00,10-31-16,11-03-16,5,"102 Robertsville Rd, Oak Ridge, TN 37830",,10:00 AM-06:00 PM,,ho7751608,false,true,,,,poll68212145
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,3310 Andersonville Hwy,3310 Andersonville Hwy,,Andersonville,TN,37705,10:00:00 - 04:00,18:00:00 - 04:00,10-19-16,10-21-16,6,"3310 Andersonville Hwy, Andersonville, TN 37705",,10:00 AM-06:00 PM,,ho69227747,false,true,,,,poll53833424
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,3310 Andersonville Hwy,3310 Andersonville Hwy,,Andersonville,TN,37705,09:00:00 - 04:00,12:00:00 - 04:00,10-22-16,10-22-16,7,"3310 Andersonville Hwy, Andersonville, TN 37705",,09:00 AM-12:00 PM,,ho69227747,false,true,,,,poll53833424
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,3310 Andersonville Hwy,3310 Andersonville Hwy,,Andersonville,TN,37705,10:00:00 - 04:00,18:00:00 - 04:00,10-24-16,10-28-16,8,"3310 Andersonville Hwy, Andersonville, TN 37705",,10:00 AM-06:00 PM,,ho69227747,false,true,,,,poll53833424
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,3310 Andersonville Hwy,3310 Andersonville Hwy,,Andersonville,TN,37705,09:00:00 - 04:00,12:00:00 - 04:00,10-29-16,10-29-16,9,"3310 Andersonville Hwy, Andersonville, TN 37705",,09:00 AM-12:00 PM,,ho69227747,false,true,,,,poll53833424
Anderson County,County Election Commission,":election,:registration",ocd-division/country:us/state:tn/county:anderson,Anderson County TN,http://acelect.com/,(865) 457-6238,3310 Andersonville Hwy,3310 Andersonville Hwy,,Andersonville,TN,37705,10:00:00 - 04:00,18:00:00 - 04:00,10-31-16,11-03-16,10,"3310 Andersonville Hwy, Andersonville, TN 37705",,10:00 AM-06:00 PM,,ho69227747,false,true,,,,poll53833424
